Date,Price,Open,High,Low,Vol.,Change %
25-Sep-21,"2,922.55","2,928.59","2,965.48","2,812.70",975.49K,-0.21%
24-Sep-21,"2,928.57","3,152.92","3,158.38","2,740.06",1.74M,-7.12%
23-Sep-21,"3,152.92","3,077.80","3,173.00","3,035.96",841.54K,2.44%
22-Sep-21,"3,077.78","2,764.71","3,087.97","2,740.58",1.19M,11.45%
21-Sep-21,"2,761.52","2,976.70","3,101.88","2,659.71",1.79M,-7.21%
20-Sep-21,"2,976.05","3,328.49","3,344.04","2,931.64",1.72M,-10.61%
19-Sep-21,"3,329.12","3,435.92","3,455.67","3,282.85",614.00K,-3.11%
18-Sep-21,"3,435.97","3,398.55","3,539.50","3,371.33",600.19K,1.10%
17-Sep-21,"3,398.65","3,569.92","3,592.20","3,352.32",748.10K,-4.78%
16-Sep-21,"3,569.43","3,612.23","3,672.68","3,488.53",195.79K,-1.18%
15-Sep-21,"3,611.90","3,430.36","3,612.29","3,361.63",790.27K,5.34%
14-Sep-21,"3,428.87","3,284.65","3,428.87","3,270.91",720.34K,4.39%
13-Sep-21,"3,284.52","3,408.17","3,429.24","3,118.66",1.34M,-3.63%
12-Sep-21,"3,408.28","3,267.33","3,469.50","3,231.87",805.97K,4.31%
11-Sep-21,"3,267.33","3,209.37","3,345.37","3,202.41",732.95K,1.87%
10-Sep-21,"3,207.27","3,423.87","3,512.90","3,156.28",1.21M,-6.32%
09-Sep-21,"3,423.51","3,498.92","3,564.30","3,395.94",1.09M,-2.05%
08-Sep-21,"3,495.10","3,424.35","3,557.67","3,221.60",780.68K,2.10%
07-Sep-21,"3,423.12","3,926.84","3,945.79","3,061.30",2.47M,-12.84%
06-Sep-21,"3,927.21","3,950.20","3,968.20","3,867.55",764.56K,-0.59%
05-Sep-21,"3,950.62","3,885.40","3,981.22","3,834.74",714.16K,1.69%
04-Sep-21,"3,884.97","3,938.45","3,968.33","3,844.07",672.53K,-1.30%
03-Sep-21,"3,936.29","3,785.85","4,024.89","3,715.97",1.20M,3.96%
02-Sep-21,"3,786.19","3,826.90","3,833.89","3,723.42",928.70K,-1.21%
01-Sep-21,"3,832.73","3,429.65","3,839.91","3,384.82",1.48M,11.72%
31-Aug-21,"3,430.74","3,228.23","3,467.42","3,191.34",1.52M,6.36%
30-Aug-21,"3,225.67","3,222.43","3,345.72","3,145.53",966.58K,0.11%
29-Aug-21,"3,222.16","3,243.96","3,282.21","3,155.31",643.73K,-0.67%
28-Aug-21,"3,243.90","3,273.78","3,284.58","3,212.24",466.21K,-0.91%
27-Aug-21,"3,273.58","3,093.78","3,279.93","3,063.37",839.54K,5.82%
26-Aug-21,"3,093.54","3,228.03","3,249.62","3,057.48",118.44K,-4.17%
25-Aug-21,"3,228.15","3,172.12","3,247.43","3,080.70",923.13K,1.73%
24-Aug-21,"3,173.26","3,322.60","3,357.99","3,150.75",988.82K,-4.41%
23-Aug-21,"3,319.49","3,238.41","3,375.42","3,231.96",1.09M,2.49%
22-Aug-21,"3,238.70","3,224.17","3,271.94","3,128.98",747.65K,0.46%
21-Aug-21,"3,223.96","3,285.12","3,307.33","3,200.19",768.74K,-1.83%
20-Aug-21,"3,284.21","3,184.83","3,300.36","3,179.18",739.32K,3.12%
19-Aug-21,"3,184.82","3,016.92","3,185.51","2,962.04",844.13K,5.57%
18-Aug-21,"3,016.91","3,012.62","3,124.51","2,951.04",750.74K,0.08%
17-Aug-21,"3,014.58","3,147.67","3,290.03","2,993.63",1.06M,-4.23%
16-Aug-21,"3,147.65","3,307.96","3,334.22","3,138.37",859.09K,-4.87%
15-Aug-21,"3,308.87","3,264.56","3,318.61","3,115.34",782.81K,1.35%
14-Aug-21,"3,264.69","3,322.25","3,328.38","3,209.45",658.60K,-1.74%
13-Aug-21,"3,322.43","3,043.20","3,324.53","3,035.52",795.54K,9.16%
12-Aug-21,"3,043.61","3,160.17","3,236.28","2,981.35",965.63K,-3.79%
11-Aug-21,"3,163.66","3,140.86","3,269.70","3,122.67",950.12K,0.73%
10-Aug-21,"3,140.71","3,162.81","3,232.02","3,057.84",1.12M,-0.70%
09-Aug-21,"3,162.93","3,011.88","3,184.84","2,899.24",1.44M,5.01%
08-Aug-21,"3,012.07","3,158.30","3,188.49","2,949.66",1.25M,-4.62%
07-Aug-21,"3,158.00","2,889.58","3,169.74","2,867.58",64.84K,9.29%
06-Aug-21,"2,889.43","2,827.23","2,946.62",,1.06M,2.20%
05-Aug-21,"2,827.21","2,725.28","2,842.95","2,533.51",1.65M,3.74%
04-Aug-21,"2,725.29","2,506.50","2,766.46","2,462.32",1.23M,8.72%
03-Aug-21,"2,506.65","2,608.01","2,631.43","2,445.49",158.45K,-3.89%
02-Aug-21,"2,608.04","2,556.07","2,664.73","2,513.51",970.67K,2.03%
01-Aug-21,"2,556.23","2,530.94","2,696.38","2,515.26",1.20M,0.95%
31-Jul-21,"2,532.19","2,461.08","2,551.68","2,421.70",507.08K,2.89%
,"2,460.95","2,380.59","2,467.40","2,320.80",1.03M,3.36%
29-Jul-21,"2,380.93","2,299.46","2,397.71","2,269.15",642.75K,3.56%
28-Jul-21,"2,299.11","2,300.21","2,343.49","2,246.23",968.94K,-0.05%
27-Jul-21,"2,300.22","2,230.24",,"2,152.92",1.25M,3.17%
26-Jul-21,"2,229.53","2,189.74","2,430.01","2,174.44",1.89M,1.81%
25-Jul-21,"2,189.79","2,166.98","2,195.03","2,108.74",786.94K,1.76%
24-Jul-21,"2,151.85","2,124.00","2,162.29","2,106.71",907.11K,1.33%
23-Jul-21,"2,123.61","2,024.51","2,129.66","2,000.27",961.67K,4.89%
22-Jul-21,"2,024.58","1,994.61","2,043.26","1,952.31",1.02M,1.51%
21-Jul-21,"1,994.49","1,786.18","2,029.51","1,758.64",1.51M,11.67%
20-Jul-21,"1,786.07","1,818.07","1,840.36","1,720.70",1.20M,-1.76%
19-Jul-21,"1,818.07","1,891.43","1,915.15","1,807.19",802.78K,-3.93%
18-Jul-21,"1,892.42","1,898.01","1,988.24","1,881.60",829.77K,
17-Jul-21,"1,897.98",,"1,917.80","1,851.97",623.52K,1.05%
16-Jul-21,"1,878.20","1,917.21","1,960.21","1,852.42",619.62K,-2.03%
15-Jul-21,"1,917.21","1,994.73","2,038.91","1,884.81",645.06K,-3.88%
14-Jul-21,"1,994.64","1,940.48","2,017.99","1,868.45",1.05M,2.78%
13-Jul-21,"1,940.72","2,035.09","2,042.61","1,920.62",717.85K,-4.64%
12-Jul-21,"2,035.09","2,139.44","2,167.60","2,008.66",540.10K,-4.87%
11-Jul-21,"2,139.35","2,110.90","2,173.34","2,081.62",724.84K,1.34%
10-Jul-21,"2,111.12","2,146.15","2,191.30","2,078.43",929.32K,-1.62%
09-Jul-21,"2,145.89","2,120.05","2,185.62","2,066.09",1.42M,1.21%
08-Jul-21,"2,120.22","2,316.21","2,322.47","2,095.92",1.82M,-8.48%
07-Jul-21,"2,316.57","2,322.74","2,402.68","2,296.43",1.32M,-0.26%
06-Jul-21,"2,322.72","2,196.25","2,347.47","2,194.20",1.78M,5.76%
05-Jul-21,"2,196.16","2,322.60","2,322.60","2,163.09",822.95K,-5.47%
04-Jul-21,"2,323.22","2,224.70","2,386.20","2,222.95",1.39M,4.43%
03-Jul-21,"2,224.70","2,154.53","2,236.97","2,115.80",1.28M,3.25%
02-Jul-21,"2,154.78","2,108.58","2,158.70","2,019.75",1.39M,2.17%
01-Jul-21,"2,109.11","2,274.50","2,274.63","2,077.56",1.71M,-7.24%
30-Jun-21,"2,273.84","2,158.32","2,281.55","2,090.61",1.90M,5.33%
29-Jun-21,"2,158.71","2,083.48","2,241.86","2,076.17",898.06K,3.63%
28-Jun-21,"2,083.09","1,981.24","2,142.84","1,962.89",2.19M,5.21%
27-Jun-21,"1,979.88","1,830.42","1,980.70","1,808.59",1.87M,8.15%
26-Jun-21,"1,830.62","1,810.53","1,850.40","1,719.32",1.99M,1.11%
25-Jun-21,"1,810.57","1,989.77","2,017.47","1,793.47",1.65M,-8.98%
24-Jun-21,"1,989.14","1,968.76","2,033.96","1,886.74",1.64M,1.05%
23-Jun-21,"1,968.39","1,877.28","2,043.10","1,823.57",1.77M,4.89%
22-Jun-21,"1,876.66","1,890.95","1,994.32","1,707.24",2.84M,-0.77%
21-Jun-21,"1,891.18","2,244.25","2,257.86","1,868.32",2.69M,-15.72%
20-Jun-21,"2,243.86","2,166.30","2,276.83","2,045.03",1.42M,3.55%
19-Jun-21,"2,166.91","2,229.53","2,276.70","2,164.14",1.08M,-2.81%
18-Jun-21,"2,229.53","2,372.10","2,376.62","2,142.74",778.79K,-5.99%
17-Jun-21,"2,371.62","2,367.78","2,459.11","2,309.08",1.06M,0.18%
16-Jun-21,"2,367.28","2,544.35","2,552.12","2,353.24",1.37M,-6.94%
15-Jun-21,"2,543.83","2,581.42","2,637.90","2,512.39",1.95M,-1.46%
14-Jun-21,"2,581.48","2,508.49","2,606.91","2,467.61",1.79M,2.92%
13-Jun-21,"2,508.27","2,368.68","2,547.90","2,311.96",1.62M,5.90%
12-Jun-21,"2,368.47","2,351.45","2,448.04","2,260.80",1.80M,0.72%
11-Jun-21,"2,351.45","2,470.04","2,493.48","2,324.21",587.18K,-4.80%
10-Jun-21,"2,469.97","2,607.45","2,615.46","2,432.41",1.29M,-5.23%
09-Jun-21,"2,606.23","2,507.86","2,620.74","2,408.37",2.32M,3.81%
08-Jun-21,"2,510.65","2,592.12","2,618.70","2,320.64",75.18K,-3.16%
07-Jun-21,"2,592.63","2,713.52","2,842.88","2,581.24",3.01M,-4.46%
06-Jun-21,"2,713.66","2,628.43","2,743.53","2,614.48",756.36K,3.22%
05-Jun-21,"2,628.98","2,688.75","2,814.02","2,555.98",2.55M,-2.14%
04-Jun-21,"2,686.50","2,856.63","2,856.63","2,557.71",2.47M,-5.85%
03-Jun-21,"2,853.35","2,705.05","2,889.19","2,666.39",1.09M,5.44%
02-Jun-21,"2,706.10","2,633.74","2,801.00","2,554.88",2.60M,2.75%
01-Jun-21,"2,633.67","2,707.94",,"2,529.73",2.45M,-2.76%
31-May-21,"2,708.47","2,386.93","2,713.98","2,279.42",2.83M,
30-May-21,"2,386.10","2,276.97","2,465.84","2,181.93",2.80M,4.83%
29-May-21,"2,276.07","2,411.68","2,567.42","2,207.21",2.94M,-5.73%
28-May-21,"2,414.29","2,742.39","2,760.17","2,332.43",3.26M,-11.75%
27-May-21,"2,735.88","2,885.02","2,885.87","2,638.62",2.39M,-5.16%
26-May-21,"2,884.66","2,705.69","2,908.37","2,648.10",2.66M,6.64%
25-May-21,"2,705.09","2,647.27","2,747.49","2,388.81",3.28M,2.20%
24-May-21,"2,646.79","2,101.30","2,667.20","2,080.87",3.24M,25.96%
23-May-21,"2,101.34","2,292.68","2,379.89","1,739.91",3.52M,-8.30%
22-May-21,"2,291.60","2,433.09","2,481.06","2,162.84",2.82M,-5.82%
21-May-21,,"2,766.88","2,931.66",,4.23M,-12.40%
20-May-21,"2,777.55","2,436.59","2,988.52","2,163.40",4.33M,14.04%
19-May-21,"2,435.69","3,376.22","3,434.01","1,922.25",6.42M,-27.89%
18-May-21,"3,377.55","3,280.50","3,558.57","3,244.93",2.30M,2.98%
17-May-21,"3,279.68","3,582.19","3,582.27","3,130.12",2.85M,-8.44%
16-May-21,"3,582.12","3,643.67","3,877.20","3,351.92",2.28M,-1.63%
15-May-21,"3,641.65","4,074.57","4,129.99","3,639.12",1.94M,-10.64%
14-May-21,"4,075.38","3,719.46","4,171.76","3,694.54",2.06M,9.56%
13-May-21,"3,719.62","3,807.50","4,031.99","3,539.96",3.21M,-2.42%
,"3,811.77","4,173.61","4,366.10","3,794.15",2.78M,-8.54%
11-May-21,"4,167.78","3,948.66","4,177.53","3,781.86",1.27M,5.57%
10-May-21,"3,947.90","3,923.48","4,203.98","3,669.84",2.70M,0.65%
09-May-21,"3,922.23","3,905.69","3,979.77","3,734.44",1.94M,0.43%
08-May-21,"3,905.55","3,479.81","3,952.88","3,453.37",1.34M,12.19%
07-May-21,"3,481.22","3,490.83","3,583.34","3,363.56",1.35M,-0.24%
06-May-21,"3,489.52","3,522.74","3,601.59","3,380.60",1.51M,-0.94%
05-May-21,"3,522.76","3,284.31","3,540.78","3,228.86",1.87M,7.18%
04-May-21,"3,286.71","3,429.48","3,516.34","3,188.90",2.74M,-4.16%
03-May-21,"3,429.37","2,950.07","3,451.44","2,950.07",2.32M,16.24%
02-May-21,"2,950.33","2,945.04","2,984.52","2,854.12",1.30M,0.19%
01-May-21,"2,944.66","2,772.27","2,951.74","2,753.60",1.51M,6.20%
30-Apr-21,"2,772.78","2,757.02","2,797.61","2,726.03",1.52M,0.56%
29-Apr-21,"2,757.36","2,746.51","2,797.52","2,670.35",1.65M,0.39%
28-Apr-21,"2,746.54","2,665.83","2,759.03","2,562.74",1.74M,3.05%
27-Apr-21,"2,665.24","2,531.07","2,677.95","2,484.44",1.45M,5.22%
26-Apr-21,"2,533.12","2,320.63","2,539.80","2,305.97",1.79M,9.35%
25-Apr-21,"2,316.48","2,217.23","2,355.20","2,169.91",1.02M,4.54%
24-Apr-21,"2,215.93","2,367.35","2,367.46","2,159.60",1.61M,-6.39%
23-Apr-21,"2,367.31","2,398.95","2,440.21","2,119.26",3.46M,-1.41%
22-Apr-21,"2,401.10","2,360.32","2,642.99","2,313.46",3.17M,1.71%
21-Apr-21,"2,360.81","2,331.84","2,467.51","2,238.15",2.10M,1.23%
20-Apr-21,"2,332.14","2,161.06","2,345.18","2,058.00",1.86M,7.94%
19-Apr-21,"2,160.63","2,236.10","2,275.87","2,081.30",1.90M,-3.42%
18-Apr-21,"2,237.17","2,317.88","2,338.53","1,948.93",2.76M,-3.50%
17-Apr-21,"2,318.33","2,424.12","2,493.93","2,314.12",1.73M,-4.33%
16-Apr-21,"2,423.18","2,514.55","2,544.54","2,302.30",2.08M,-3.62%
15-Apr-21,"2,514.22","2,432.90","2,541.90","2,402.75",1.91M,3.40%
14-Apr-21,"2,431.56","2,299.25","2,445.40","2,281.49",2.11M,5.72%
13-Apr-21,"2,299.93","2,137.55","2,315.47","2,136.49",,7.58%
12-Apr-21,"2,137.81","2,150.79","2,199.52","2,103.73",2.16M,-0.63%
11-Apr-21,"2,151.42","2,133.89","2,164.76","2,114.55",1.97M,0.83%
10-Apr-21,"2,133.79","2,067.26","2,197.73","2,058.23",2.09M,3.23%
09-Apr-21,"2,066.93","2,080.20","2,101.07","2,050.39",2.47M,-0.62%
08-Apr-21,"2,079.92","1,962.44","2,084.08","1,951.83",1.73M,6.04%
07-Apr-21,"1,961.46","2,112.41","2,128.25","1,939.64",2.30M,-7.11%
06-Apr-21,"2,111.53","2,108.81","2,150.78","2,047.48",1.93M,0.24%
05-Apr-21,"2,106.41","2,076.14","2,127.89","2,004.05",2.31M,1.47%
04-Apr-21,"2,075.94","2,007.82","2,091.31","1,982.00",1.59M,3.35%
03-Apr-21,"2,008.59","2,134.66","2,137.68","2,004.40",2.01M,-5.90%
02-Apr-21,"2,134.55","1,968.12","2,144.11","1,949.99",2.47M,8.47%
01-Apr-21,"1,967.96","1,918.82","1,983.84","1,897.38",2.08M,2.61%
31-Mar-21,"1,917.99","1,841.01","1,945.40","1,774.66",2.59M,4.18%
30-Mar-21,"1,841.01","1,816.92","1,857.65","1,788.60",3.03M,1.34%
29-Mar-21,"1,816.69","1,686.88","1,839.41","1,678.38",1.94M,7.70%
